品牌,省,Province,市区辅助,City/Area,区,店名,类型,地址,电话,备注
法拉利,浙江,Zhejiang,杭州,Hangzhou,上城区,杭州骏意汽车销售服务有限公司,展厅,浙江省杭州市南山路,+86 571 87706458,
法拉利,四川,Sichuan,成都,Chengdu,中国,成都骏意汽车销售服务有限公司,服务中心,"West Road of South Railway Station, High-Tech Zone",028-86307788,
法拉利,四川,Sichuan,成都,Chengdu,中国,成都骏意汽车销售服务有限公司,展厅,高新区火车南站西路,+86 28 83387662,
法拉利,北京,Beijing,北京,Beijing,东城区,北京骏东汽车销售服务有限公司,服务中心,北京市朝阳区金盏路金盏汽车公园,010-84337430,
法拉利,北京,Beijing,北京,Beijing,东城区,北京骏东汽车销售服务有限公司,展厅,金宝街,+86 10 85221430,
法拉利,北京,Beijing,北京,Beijing,东城区,北京骏东汽车销售服务有限公司,服务中心,北京市朝阳区金盏路金盏汽车公园,010-84337430,
法拉利,北京,Beijing,北京,Beijing,东城区,北京骏东汽车销售服务有限公司,展厅,金宝街,+86 10 85221430,
法拉利,重庆,Chongqing,重庆,Chongqing,渝北区,重庆骏东汽车销售服务有限公司,展厅,重庆市两江新区新南路,023-67035300,
法拉利,北京,Beijing,北京,Beijing,朝阳区,北京骏东汽车销售服务有限公司,服务中心,北京市朝阳区金盏乡,+86 10 84337430,
法拉利,北京,Beijing,北京,Beijing,朝阳区,北京骏东汽车销售服务有限公司,展厅,金宝街,+86 10 85221430,
法拉利,北京,Beijing,北京,Beijing,朝阳区,北京骏东汽车销售服务有限公司,服务中心,北京市朝阳区金盏乡,+86 10 84337430,
法拉利,北京,Beijing,北京,Beijing,朝阳区,北京骏东汽车销售服务有限公司,展厅,金盏乡,+86 10 84337430,
法拉利,广东,Guangdong,广州,Guangzhou,中国,广东骏佳汽车服务有限公司,服务中心,广东省广州市番禺区大北路552号首层及四楼,020-61968559,
法拉利,广东,Guangdong,广州,Guangzhou,中国,广东骏佳汽车服务有限公司,服务中心,番禺区大北路552号首层及四楼,+86 20 6621 7588,
法拉利,广东,Guangdong,广州,Guangzhou,中国,广东骏佳汽车服务有限公司,展厅,天河区珠江新城清风街1-48号 新世界广场首层,+86 20 6681 8558,
法拉利,浙江,Zhejiang,杭州,Hangzhou,,杭州骏意汽车销售服务有限公司,服务中心,浙江省杭州市滨江区江陵路211号,+86 571 88745430,
法拉利,浙江,Zhejiang,杭州,Hangzhou,,杭州骏意汽车销售服务有限公司,服务中心,浙江省杭州市滨江区江陵路211号,+86 571 88745430,
法拉利,广东,Guangdong,广州,Guangzhou,,广东骏佳汽车服务有限公司,服务中心,广东省广州市番禺区大北路552号首层及四楼,+86 20 6621 7588,
法拉利,广东,Guangdong,广州,Guangzhou,,广东骏佳汽车服务有限公司,服务中心,番禺区大北路552号首层及四楼,+86 20 6621 7588,
法拉利,广东,Guangdong,深圳,Shenzhen,中国,骏佳行汽车服务（深圳）有限公司,服务中心,龙岗区坂田街道五和社区五和南路45-1号,27884733,
法拉利,云南,Yunnan,昆明,Kunming,NA ,昆明乐骏汽车销售服务有限公司,服务中心,昆明市滇池国家旅游度假区滇池路1103号华夏国际广场B座1层,+86 871 63858001,
法拉利,云南,Yunnan,昆明,Kunming,NA ,昆明乐骏汽车销售服务有限公司,展厅,云南省昆明滇池度假区滇池路1103号平安大厦B座1层,+86 871 67370000,
法拉利,福建省,Fujiansheng,厦门市,Xiamenshi,思明区,福建骏佳行汽车销售服务有限公司,服务中心,岩隆路33-5号,(86) 592 5713234,
法拉利,福建省,Fujiansheng,厦门市,Xiamenshi,思明区,福建骏佳行汽车销售服务有限公司,展厅,环岛东路1821号,+86 592 2035830,
法拉利,上海,Shanghai,上海,Shanghai,上海,上海闵行意特汽车销售服务有限公司,服务中心,上海市区闵行区银都路,+86 21 62996128,
法拉利,上海,Shanghai,上海,Shanghai,上海,意特汽车商业（上海）有限公司,展厅,黄浦区太仓路233号1层01单元,8621-53838818,
法拉利,上海,Shanghai,上海,Shanghai,上海,上海闵行意特汽车销售服务有限公司,服务中心,上海市区闵行区银都路,+86 21 62996128,
法拉利,上海,Shanghai,上海,Shanghai,上海,意特汽车商业（上海）有限公司,展厅,上海市静安区恒通东路69号101单元,8621-52868178,
