品牌,省,Province,市区辅助,City/Area,区,店名,类型,地址,电话,备注
法拉利,浙江,310002,杭州,杭州,上城区,杭州骏意汽车销售服务有限公司,展厅,"浙江省杭州市南山路（坐标：120.158455,30.238377）",+86 571 87706458,"工作日：9:00-12:00
周末：9:00-12:00
最后更新：2025-05"
法拉利,四川,Sichuan,成都,Chengdu,中国,成都骏意汽车销售服务有限公司,服务中心,"West Road of South Railway Station, High-Tech Zone（坐标：104.06691,30.604673）",028-86307788,"工作日：09:00-12:00
周末：09:00-12:00
最后更新：2025-05"
法拉利,四川,610000,成都,成都市,中国,成都骏意汽车销售服务有限公司,展厅,"高新区火车南站西路（坐标：104.029999,30.593889）",+86 28 83387662,"工作日：9:00-12:00
周末：9:00-12:00
最后更新：2025-05"
法拉利,北京,100018,北京,北京,东城区,北京骏东汽车销售服务有限公司,服务中心,"北京市朝阳区金盏路金盏汽车公园（坐标：39.683899,13.9808）",010-84337430,"工作日：8:30-12:00
周末：8:30-12:00
最后更新：2025-05"
法拉利,北京,100005,北京,北京,东城区,北京骏东汽车销售服务有限公司,展厅,"金宝街（坐标：116.4198,39.915798）",+86 10 85221430,"工作日：09:00-12:00
周末：09:00-12:00
最后更新：2025-05"
法拉利,北京,100018,北京,北京,东城区,北京骏东汽车销售服务有限公司,服务中心,"北京市朝阳区金盏路金盏汽车公园（坐标：39.683899,13.9808）",010-84337430,"工作日：8:30-12:00
周末：8:30-12:00
最后更新：2025-05"
法拉利,北京,100005,北京,北京,东城区,北京骏东汽车销售服务有限公司,展厅,"金宝街（坐标：116.426491,39.9156）",+86 10 85221430,"工作日：09:00-12:00
周末：09:00-12:00
最后更新：2025-05"
法拉利,重庆,401147,重庆,重庆,渝北区,重庆骏东汽车销售服务有限公司,展厅,"重庆市两江新区新南路（坐标：106.505287,29.601234）",023-67035300,"工作日：9:00-12:00
周末：9:00-12:00
最后更新：2025-05"
法拉利,北京,100018,北京,北京,朝阳区,北京骏东汽车销售服务有限公司,服务中心,"北京市朝阳区金盏乡（坐标：39.683899,13.9808）",+86 10 84337430,"工作日：08:30-12:00
周末：-
最后更新：2025-05"
法拉利,北京,100005,北京,北京,朝阳区,北京骏东汽车销售服务有限公司,展厅,"金宝街（坐标：39.683899,13.9808）",+86 10 85221430,"工作日：09:00-12:00
周末：09:00-12:00
最后更新：2025-05"
法拉利,北京,100018,北京,北京,朝阳区,北京骏东汽车销售服务有限公司,服务中心,"北京市朝阳区金盏乡（坐标：39.683899,13.9808）",+86 10 84337430,"工作日：08:30-12:00
周末：-
最后更新：2025-05"
法拉利,北京,100018,北京,北京,朝阳区,北京骏东汽车销售服务有限公司,展厅,"金盏乡（坐标：39.683899,13.9808）",+86 10 84337430,"工作日：8:30-12:00
周末：8:30-12:00
最后更新：2025-05"
法拉利,广东,510442,广州,广州,中国,广东骏佳汽车服务有限公司,服务中心,"广东省广州市番禺区大北路552号首层及四楼（坐标：113.370613,22.961212）",020-61968559,"工作日：09:00-12:00
周末：09:00-12:00
最后更新：2025-05"
法拉利,广东,511406 ,广州,广州市,中国,广东骏佳汽车服务有限公司,服务中心,"番禺区大北路552号首层及四楼（坐标：113.370613,22.961212）",+86 20 6621 7588,"工作日：09:00-12:00
周末：09:00-12:00
最后更新：2025-05"
