品牌,省,Province,市区辅助,City/Area,区,店名,类型,地址,电话,备注
天猫养车,,,,安庆市,,天猫养车（望江豪庭店）,门店,建德市新安江街道望江豪庭2号1-11,,
天猫养车,,,,安庆市,,天猫养车（桐庐乔林路店）,门店,浙江省杭州市桐庐县乔林路929号,,
天猫养车,,,,安庆市,,天猫养车（桐庐江北店）,门店,桐君街道富春路与县湖塘路交叉口西60米雷锋广场,,
天猫养车,,,,安庆市,,天猫养车（阆苑路店）,门店,阆苑路108号,,
天猫养车,,,,安庆市,,天猫养车（杭州技师学院店）,门店,坞泥口村杭州技师学院,,
天猫养车,,,,安庆市,,天猫养车（舒泰富春智创园店）,门店,桐庐县风川街道马家路516号舒泰智创园1号楼,,
天猫养车,,,,安庆市,,天猫养车（金浦路今慧城店）,门店,富阳区金浦路391号,,
天猫养车,,,,安庆市,,天猫养车（西苑路店）,门店,西苑路114号天猫养车店,,
天猫养车,,,,安庆市,,天猫养车（临安汽车东站店）,门店,临安区锦城街道胜利巷7号,,
天猫养车,,,,安庆市,,天猫养车（杭州野生动物世界店）,门店,银湖街道上林南路2号,,
天猫养车,,,,安庆市,,天猫养车（青山湖科技城店）,门店,青山湖街道星港路与蒋墅街交叉口向北100米（荣盛檀越府5栋底商）,,
天猫养车,,,,安庆市,,天猫养车（闲林西路店）,门店,闲林街道闲林西路3-2天猫养车,,
天猫养车,,,,安庆市,,天猫养车（佳源未来府店）,门店,余杭街道安乐路1号,,
天猫养车,,,,安庆市,,天猫养车（五常大道店）,门店,闲林街道五常大道666号天猫养车,,
天猫养车,,,,安庆市,,天猫养车（人工智能小镇店）,门店,科技大道8号天猫养车-人工智能小镇店(南门),,
天猫养车,,,,安庆市,,天猫养车（五常联胜路店）,门店,五常街道联胜路1号,,
天猫养车,,,,安庆市,,天猫养车（杭州未来科技城店）,门店,余杭区仓前街道龙潭路9号3幢1层（炬华智慧产业园区北门内）,,
天猫养车,,,,安庆市,,天猫养车蓝电（杭州城西店）,门店,龙潭路7号天猫养车X蓝电MAX（城西店）,,
天猫养车,,,,安庆市,,天猫养车（东冠路店）,门店,诚业南路160号（金成·滨玺云著西门）,,
天猫养车,,,,安庆市,,天猫养车(荆长路店),门店,五常街道荆长路260号杭州西溪瑞莱克斯大酒店,,
天猫养车,,,,安庆市,,天猫养车（海创园店）,门店,文一西路998号浙江海外高层次人才创新园地下室负一楼,,
天猫养车,,,,安庆市,,天猫养车（滨安路店）,门店,滨江区滨安路1189号(与南川路交叉口往南88米),,
天猫养车,,,,安庆市,,天猫养车（聚园路店）,门店,聚园路21号4幢101室,,
天猫养车,,,,安庆市,,天猫养车（西溪湿地店）,门店,五常港路与文二西路交叉口东北80米九橙·西溪创投中心天猫养车,,
天猫养车,,,,安庆市,,天猫养车（中石化文一村店）,门店,五常街道文一西路957号中国石化文一村加油站,,
天猫养车,,,,安庆市,,天猫养车（通惠南路店）,门店,天猫养车(通惠南路店),,
天猫养车,,,,安庆市,,天猫养车（良渚文化村店）,门店,浙江省杭州市余杭区良渚街道运溪路1100号溪谷岚湾（小区南门口）天猫养车不要放物业,,
天猫养车,,,,安庆市,,天猫养车（中栋国际店）,门店,风情大道与建设一路交汇处中栋国际内天猫养车,,
天猫养车,,,,安庆市,,天猫养车（云谷店）,门店,阿里云谷园区地下一层F区,,
天猫养车,,,,安庆市,,天猫养车（文三西路店）,门店,文三西路146-148号天猫养车(文三西路店),,
天猫养车,,,,安庆市,,天猫养车（顺和悦府店）,门店,裴家埭路39-51号天猫养车(顺和悦府店),,
天猫养车,,,,安庆市,,天猫养车（振中路店）,门店,振中路202号13幢106室（全季酒店同一出入口）,,
天猫养车,,,,安庆市,,天猫养车（西城美墅店）,门店,西城美墅3幢商铺104号、105号,,
天猫养车,,,,安庆市,,天猫养车（建设四路店）,门店,天猫养车(建设四路店),,
天猫养车,,,,安庆市,,天猫养车（三墩店）,门店,丰庆路513-525号天猫养车,,
天猫养车,,,,安庆市,,天猫养车（潮王路店）,门店,潮王路117号,,
天猫养车,,,,安庆市,,天猫养车（振宁路店）,门店,宁围街道杭州萧山区振宁路8号,,
天猫养车,,,,安庆市,,天猫养车（远大金地中心店）,门店,金昌路2816-2818号远大金地中心天猫养车,,
天猫养车,,,,安庆市,,天猫养车蓝电（拱墅天堂e谷店）,门店,祥符街道新文路33号天堂e谷3幢2号楼128室,,
天猫养车,,,,安庆市,,天猫养车（祥茂路店）,门店,拱墅区祥茂路36号A楼一楼天猫养车,,
天猫养车,,,,安庆市,,天猫养车（秋涛北路店）,门店,秋涛北路316-2号天猫养车(秋涛北路店),,
天猫养车,,,,安庆市,,天猫养车（中童巴比尼店）,门店,中童巴比尼(绿城运河郡店)中童巴比尼停车场,,
天猫养车,,,,安庆市,,天猫养车（勾庄店）,门店,良渚街道高薪技术产业园沈港路5号,,
天猫养车,,,,安庆市,,天猫养车（东新路西联广场店）,门店,东新街道东新路655号西联广场地下停车场一层,,
天猫养车,,,,安庆市,,天猫养车（火车东站店）,门店,空港大道1386-2号,,
天猫养车,,,,安庆市,,天猫养车（杭州新天地店）,门店,东新街道东新街道费家塘路594号至608号,,
天猫养车,,,,安庆市,,天猫养车（永华街店）,门店,永华街11号天猫养车(永华街店),,
天猫养车,,,,安庆市,,天猫养车（九堡三村店店）,门店,九横路与兴旺路交叉口西,,
天猫养车,,,,安庆市,,天猫养车（九堡九睦路店）,门店,九堡街道九睦路98号,,
天猫养车,,,,安庆市,,天猫养车（瓜沥互通店）,门店,瓜沥镇如家公寓,,
天猫养车,,,,萍乡市,,天猫养车（天虹广场店）,门店,萍安北大道83号天猫养车,,
天猫养车,,,,遵义市,,天猫养车（鑫轩汽车城店）,门店,凤冈县何坝镇何坝派出所对面鑫轩汽车城,,
天猫养车,,,,遵义市,,天猫养车（高铁新城客运站店）,门店,礼仪街道新南大道高铁汽车客运站,,
天猫养车,,,,遵义市,,天猫养车（云谷南岭公园店）,门店,忠庄街道忠庄镇海尔大道南段南岭商住楼一楼二号门,,
天猫养车,,,,遵义市,,天猫养车（凤岭庄园店）,门店,上海路街道上海路385号凤凰大酒店(国贸购物中心店),,
天猫养车,,,,遵义市,,天猫养车（正鑫蟠龙都市店）,门店,燎原镇318县道东150米蟠龙都市,,
天猫养车,,,,遵义市,,天猫养车（东城首府店）,门店,红城东路东城首府4号楼18号-29号,,
天猫养车,,,,遵义市,,天猫养车（赢途马鞍山店）,门店,娄山关街道砖瓦厂综合执法局旁天猫养车赢途马鞍山店,,
天猫养车,,,,乌海市,,天猫养车（海勃湾世纪大道店）,门店,滨河街道滨河街道世纪大道阳光景园外围师成体检,,
天猫养车,,,,黄石市,,天猫养车（现代城店）,门店,环城路现代城B7-3号,,
天猫养车,,,,黄石市,,天猫养车（两湖天下店）,门店,东岳路街道东风东路37号,,
天猫养车,,,,黄石市,,天猫养车（阳光花园店）,门店,乾塔路阳光花园180-102万里汽车装饰行(乾塔路店),,
天猫养车,,,,黄石市,,天猫养车（铜花北路店）,门店,铜花北路紫新苑广场101号商铺,,
天猫养车,,,,黄石市,,天猫养车（人民广场店）,门店,桂林北路1号,,
天猫养车,,,,黄石市,,天猫养车（顺佳四季花城店）,门店,顺佳四季花城24-186号附10,,
天猫养车,,,,玉林市,,天猫养车（城南大道店）,门店,天猫养车（城南大道店）,,
天猫养车,,,,哈密市,,天猫养车（阿牙路泉水湾店）,门店,阿牙路泉水湾小区5号楼6、7号门面,,
天猫养车,,,,哈密市,,天猫养车（人民路建业嘉园店）,门店,大营门路15号建业嘉园7栋1单元101天猫养车(人民路建业嘉园店),,
天猫养车,,,,哈密市,,天猫养车（火箭农场店）,门店,哈密市火箭新城银河小区16号楼东侧商铺,,
天猫养车,,,,石家庄市,,天猫养车（高邑公交店）,门店,千秋路334号特来电充电站(高邑县工大公交),,
天猫养车,,,,石家庄市,,天猫养车（赵县安济大道店）,门店,赵县安济大道与石塔路交叉口东北角,,
天猫养车,,,,石家庄市,,天猫养车（辛集安定大街店）,门店,辛集市安定大街与教育中路交叉口东行210米路南,,
天猫养车,,,,石家庄市,,天猫养车（辛集澳森大街店）,门店,辛集镇澳森大街,,
天猫养车,,,,石家庄市,,天猫养车（仓丰路留村家园店）,门店,桥西区仓丰路与留村街交口往南300米路东,,
天猫养车,,,,石家庄市,,天猫养车（车百晟东南智汇城店）,门店,建华南街道体育大街与仓丰路交口西行200米路北,,
天猫养车,,,,石家庄市,,天猫养车（车百晟裕宁街店）,门店,裕宁街与方文路交口北行50米路西天猫养车,,
天猫养车,,,,石家庄市,,天猫养车（仓兴街店）,门店,建通街道仓兴街10号盛邦花园六区,,
天猫养车,,,,石家庄市,,天猫养车（井陉微新路店）,门店,微新路115号(井新花园小区门口1-2-3号商铺)天猫养车(井陉微新路店),,
天猫养车,,,,石家庄市,,天猫养车（育新商业街店）,门店,育新路商业街玉龙小区东南侧(天猫养车 育新商业街店),,
天猫养车,,,,石家庄市,,天猫养车（谈固大街绿洲店）,门店,绿洲路与谈固南大街交叉口西南角新天地自然康城底商停车场内天猫养车,,
天猫养车,,,,石家庄市,,天猫养车（体育南大街店）,门店,体育南大街340号天猫养车（体育南大街店,,
天猫养车,,,,石家庄市,,天猫养车（百福一江大厦店）,门店,中华大街与新石北路交口东行200米路北天猫养车,,
天猫养车,,,,石家庄市,,天猫养车（普圆街店）,门店,彭后街道香榭苑(1区),,
天猫养车,,,,石家庄市,,天猫养车（东城街店）,门店,东城街与育才路交口南行300米路西,,
天猫养车,,,,石家庄市,,天猫养车（槐安东路金马店）,门店,槐安东路与谈固东街交叉口西南角天猫养车槐安东路金马店,,
天猫养车,,,,石家庄市,,天猫养车（车百晟闽江道店）,门店,闽江道与珠峰大街西行800米路南天猫养车闽江道店,,
